"","V1","V2","V3","V4","V5","V6"
"DAL",0.0746391634805434,29.4873178713492,-29.6707387193081,-0.0347255377999522,0.040175664807597,4.99999999995408
"DD",0.0746387449537449,21.3942700160231,-21.6192696863755,-0.0347235439425172,0.0327515345997036,4.99999999999619
"DE",0.0746388633317604,10.3343174354834,-10.5776834581417,-0.0347241094612313,0.0302797702845026,4.99999999998002
"DFS",0.0746389376321546,29.7576564634896,-29.9528698753006,-0.034724587850584,0.0377476969466303,4.99999999994968
"DG",0.0746391479197015,21.8743822586863,-22.1873173483466,-0.0347255211740333,0.0235479483156497,4.99999999999172
"DGX",0.0745822838752019,29.9164095216177,-29.9999946364491,-0.0341658403701308,0.0979176331737084,4.99999999999208
"DHI",0.0746389976133407,25.816883703535,-26.0804691691487,-0.034724755889757,0.02795704445616,4.99999999999238
"DHR",0.0746390338485609,9.56229694766034,-9.83897858409183,-0.0347250842933673,0.026632656423016,4.99999999998735
"DIS",0.0745825930439406,29.9163727920042,-29.9999549476799,-0.0341676492771656,0.0979114453085719,4.99999999999896
"DISCA",0.0745829654065036,29.8814283674914,-29.9650047807677,-0.0341692583814759,0.0979227886607174,4.99999998617905
"DISCK",0.0745829706032204,29.9140260493175,-29.9976095885622,-0.0341693531703071,0.0979112280608168,4.99999999987356
"DISH",0.0746392699268703,13.1385905115504,-13.4407555255113,-0.0347260928211806,0.0243873279087213,4.99999999999572
"DLPH",0.074639134411106,17.8756172839064,-18.2621951875154,-0.0347253340912699,0.0190626963801892,4.99999999998849
"DLR",0.0745822115544718,29.9163108768338,-29.9998974445449,-0.034165348621096,0.0979204442309788,4.99999999998503
"DLTR",0.0746392120686002,14.4232615091511,-14.6836873799453,-0.0347258116791827,0.0282958999985708,4.9999999999915
"DOV",0.0746397773450078,28.7235099232523,-28.8571465242551,-0.0347274790890121,0.0551416130296336,4.99999845481959
"DOW",0.0745824638419973,29.9163871760468,-29.9999732331612,-0.0341666521834274,0.097917540633641,4.99999999996896
"DPS",0.0746388090183082,28.6240529024537,-28.8376748117749,-0.0347240243473222,0.0344943693244076,4.9999999999902
"DRE",0.0746092041219219,23.768127154143,-23.8494741315612,-0.0343273661067903,0.0988457483553662,4.99989563301893
"DRI",0.0746392594542226,25.7296230350459,-25.857219710824,-0.0347283166557713,0.0577318025783948,4.99999919713762
"DTE",0.0745823145998711,29.9161467350546,-29.9997303210576,-0.0341661117447028,0.0979156556342457,4.99999999999175
"DUK",0.0746387747399074,13.3690911780221,-13.6600300024414,-0.0347238507729944,0.0253275209260324,4.99999999999934
"DVA",0.074639217548824,11.0206471796735,-11.2650603897739,-0.0347260283211404,0.0301482196092731,4.99999999999415
"DVN",0.0745985393278907,22.6417644774282,-22.7233695227517,-0.0342103399942836,0.100538084331669,4.99992118274342
"DXC",0.0746383505033296,29.71498786616,-29.9033729810266,-0.0347215056088773,0.039118709841618,4.99999999998047
"EA",0.0745824962244701,29.9163117537817,-29.9999002490978,-0.0341666186958083,0.0979201972089533,4.99999999998099
"EBAY",0.0745826236115085,29.9163570965076,-29.9999439750498,-0.0341673786172292,0.0979172243394888,4.99999999999419
"ECL",0.0746388106903775,28.8156592253448,-28.9950564985426,-0.0347240472873565,0.0410750139752229,4.99999999950391
"ED",0.0746387090866652,20.0825565909248,-20.4888188685118,-0.0347235207640385,0.0181380583004023,4.99999999998694
"EFX",0.0745823484069903,29.9163364853212,-29.9999215560507,-0.0341661599884527,0.0979168451054616,4.99999999998981
